date,day_acu_precip
01/01/2001,0.087931104
02/01/2001,9.049679
03/01/2001,0
04/01/2001,0.05741828
05/01/2001,0.5043456
06/01/2001,41.955627
07/01/2001,0
08/01/2001,0
09/01/2001,0
10/01/2001,0.06733024
11/01/2001,0
12/01/2001,0
13/01/2001,1.1917291
14/01/2001,0
15/01/2001,0
16/01/2001,0
17/01/2001,0
18/01/2001,14.50915
19/01/2001,0
20/01/2001,0
21/01/2001,4.8362117
22/01/2001,0
23/01/2001,0
24/01/2001,2.3876114
25/01/2001,0.53447986
26/01/2001,0
27/01/2001,0
28/01/2001,0
29/01/2001,0
30/01/2001,0
31/01/2001,0
01/02/2001,0.032395188
02/02/2001,0.29892564
03/02/2001,11.296969
04/02/2001,0
05/02/2001,0
06/02/2001,0.16928774
07/02/2001,1.3975376
08/02/2001,0
09/02/2001,0
10/02/2001,0
11/02/2001,0
12/02/2001,0
13/02/2001,0
14/02/2001,27.268244
15/02/2001,0
16/02/2001,3.0182276
17/02/2001,2.4831889
18/02/2001,0.001717002
19/02/2001,1.8441714
20/02/2001,9.133568
21/02/2001,0
22/02/2001,7.376425
23/02/2001,0.5208739
24/02/2001,0
25/02/2001,0
26/02/2001,1.9978857
27/02/2001,0.03444553
28/02/2001,0
01/03/2001,0.14151208
02/03/2001,0
03/03/2001,0
04/03/2001,0
05/03/2001,0
06/03/2001,0
07/03/2001,0
08/03/2001,0
09/03/2001,0
10/03/2001,0
11/03/2001,0.045307785
12/03/2001,1.353441
13/03/2001,2.178633
14/03/2001,0
15/03/2001,0
16/03/2001,0
17/03/2001,0
18/03/2001,0
19/03/2001,0
20/03/2001,0
21/03/2001,0
22/03/2001,0.124979265
23/03/2001,1.9786084
24/03/2001,0.011649512
25/03/2001,0
26/03/2001,0
27/03/2001,0
28/03/2001,0
29/03/2001,0
30/03/2001,0.19529745
31/03/2001,0.3489606
01/04/2001,0.13017741
02/04/2001,9.134178
03/04/2001,0.24502994
04/04/2001,0
05/04/2001,0.013714368
06/04/2001,0
07/04/2001,0.09653958
08/04/2001,0.026042538
09/04/2001,0
10/04/2001,0
11/04/2001,0
12/04/2001,0
13/04/2001,0
14/04/2001,0
15/04/2001,0
16/04/2001,0
17/04/2001,0.000209824
18/04/2001,0.39156446
19/04/2001,0
20/04/2001,0.04626583
21/04/2001,0.16648698
22/04/2001,0.15208293
23/04/2001,0
24/04/2001,0
25/04/2001,0
26/04/2001,0
27/04/2001,0
28/04/2001,0
29/04/2001,0
30/04/2001,11.773799
01/05/2001,0.9286734
02/05/2001,0
03/05/2001,0
04/05/2001,0
05/05/2001,0
06/05/2001,0.13558389
07/05/2001,0
08/05/2001,0.001161423
09/05/2001,16.892454
10/05/2001,0
11/05/2001,0.09600114
12/05/2001,1.4792714
13/05/2001,20.199257
14/05/2001,0
15/05/2001,0
16/05/2001,0
17/05/2001,0
18/05/2001,0
19/05/2001,0
20/05/2001,0
21/05/2001,0
22/05/2001,0
23/05/2001,0
24/05/2001,0
25/05/2001,0
26/05/2001,0
27/05/2001,0
28/05/2001,0
29/05/2001,0
30/05/2001,0
31/05/2001,0
01/06/2001,0
02/06/2001,0
03/06/2001,0
04/06/2001,0
05/06/2001,0
06/06/2001,0
07/06/2001,0
08/06/2001,0
09/06/2001,0
10/06/2001,0
11/06/2001,0
12/06/2001,0
13/06/2001,0
14/06/2001,0
15/06/2001,0
16/06/2001,6.64E-05
17/06/2001,0
18/06/2001,0
19/06/2001,0
20/06/2001,0
